project,module,document_id,source_type,mean_fields_per_run,total_fields,n_runs
CM4AI,Ethics,june_2025_dataverse_release,historical data release,0.5,3,6
CM4AI,Ethics,march_2025_dataverse_release,historical data release,0.0,0,6
CM4AI,Ethics,bundle preamble,bundle preamble,0.0,0,6
CM4AI,Human,june_2026_dataverse_release,data resource,0.5,3,6
CM4AI,Human,october_2025_dataverse_release,data resource,0.17,1,6
CM4AI,Human,data_release_documentation,documentation,0.0,0,6
CM4AI,Human,project_documentation,documentation,0.0,0,6
CM4AI,Human,dataset_license,license,0.0,0,6
CM4AI,Human,nature_publication,publication,0.0,0,6
CM4AI,Human,biorxiv_preprint,preprint,0.5,3,6
CM4AI,Human,nih_reporter_project,NIH project page,0.0,0,6
CM4AI,Human,june_2025_dataverse_release,historical data release,0.67,4,6
CM4AI,Human,march_2025_dataverse_release,historical data release,0.0,0,6
CM4AI,Human,bundle preamble,bundle preamble,0.0,0,6
CM4AI,Variables,june_2026_dataverse_release,data resource,0.0,0,6
CM4AI,Variables,october_2025_dataverse_release,data resource,0.0,0,6
CM4AI,Variables,data_release_documentation,documentation,0.0,0,6
CM4AI,Variables,project_documentation,documentation,0.0,0,6
CM4AI,Variables,dataset_license,license,0.0,0,6
CM4AI,Variables,nature_publication,publication,0.0,0,6
CM4AI,Variables,biorxiv_preprint,preprint,0.0,0,6
CM4AI,Variables,nih_reporter_project,NIH project page,0.0,0,6
CM4AI,Variables,june_2025_dataverse_release,historical data release,0.0,0,6
CM4AI,Variables,march_2025_dataverse_release,historical data release,0.0,0,6
CM4AI,Variables,bundle preamble,bundle preamble,0.0,0,6
CM4AI,FileCollection,june_2026_dataverse_release,data resource,12.0,72,6
CM4AI,FileCollection,october_2025_dataverse_release,data resource,0.83,5,6
CM4AI,FileCollection,data_release_documentation,documentation,0.0,0,6
CM4AI,FileCollection,project_documentation,documentation,0.0,0,6
CM4AI,FileCollection,dataset_license,license,0.0,0,6
CM4AI,FileCollection,nature_publication,publication,0.0,0,6
CM4AI,FileCollection,biorxiv_preprint,preprint,0.0,0,6
CM4AI,FileCollection,nih_reporter_project,NIH project page,0.0,0,6
CM4AI,FileCollection,june_2025_dataverse_release,historical data release,0.33,2,6
CM4AI,FileCollection,march_2025_dataverse_release,historical data release,0.0,0,6
CM4AI,FileCollection,bundle preamble,bundle preamble,0.0,0,6
CM4AI,Dataset (top level),june_2026_dataverse_release,data resource,4.5,27,6
CM4AI,Dataset (top level),october_2025_dataverse_release,data resource,0.5,3,6
CM4AI,Dataset (top level),data_release_documentation,documentation,1.0,6,6
CM4AI,Dataset (top level),project_documentation,documentation,1.0,6,6
CM4AI,Dataset (top level),dataset_license,license,0.0,0,6
CM4AI,Dataset (top level),nature_publication,publication,0.33,2,6
CM4AI,Dataset (top level),biorxiv_preprint,preprint,1.5,9,6
CM4AI,Dataset (top level),nih_reporter_project,NIH project page,0.0,0,6
CM4AI,Dataset (top level),june_2025_dataverse_release,historical data release,0.0,0,6
CM4AI,Dataset (top level),march_2025_dataverse_release,historical data release,1.0,6,6
CM4AI,Dataset (top level),bundle preamble,bundle preamble,0.0,0,6
VOICE,Metadata (Information),physionet_1_1,data resource,0.17,1,6
VOICE,Metadata (Information),physionet_3_0_0,data resource,0.0,0,6
VOICE,Metadata (Information),physionet_3_1_0,data resource,5.67,34,6
VOICE,Metadata (Information),physionet_pediatric_1_1_0,data resource,0.17,1,6
VOICE,Metadata (Information),documentation_repository,documentation,0.0,0,6
VOICE,Metadata (Information),project_documentation,documentation,1.17,7,6
VOICE,Metadata (Information),data_transfer_use_agreement,DUA,0.0,0,6
VOICE,Metadata (Information),irb_protocol,IRB,0.33,2,6
VOICE,Metadata (Information),feasibility_publication,publication,0.17,1,6
VOICE,Metadata (Information),audiomics_white_paper,white paper,0.0,0,6
VOICE,Metadata (Information),nih_reporter_project,NIH project page,0.0,0,6
VOICE,Metadata (Information),bundle preamble,bundle preamble,0.0,0,6
VOICE,Motivation,physionet_1_1,data resource,0.17,1,6
VOICE,Motivation,physionet_3_0_0,data resource,0.0,0,6
VOICE,Motivation,physionet_3_1_0,data resource,1.33,8,6
VOICE,Motivation,physionet_pediatric_1_1_0,data resource,0.0,0,6
VOICE,Motivation,documentation_repository,documentation,0.0,0,6
VOICE,Motivation,project_documentation,documentation,8.5,51,6
VOICE,Motivation,data_transfer_use_agreement,DUA,0.0,0,6
VOICE,Motivation,irb_protocol,IRB,0.17,1,6
VOICE,Motivation,feasibility_publication,publication,4.0,24,6
VOICE,Motivation,audiomics_white_paper,white paper,2.83,17,6
VOICE,Motivation,nih_reporter_project,NIH project page,3.0,18,6
VOICE,Motivation,bundle preamble,bundle preamble,0.0,0,6
VOICE,Composition,physionet_1_1,data resource,1.83,11,6
VOICE,Composition,physionet_3_0_0,data resource,2.17,13,6
