label,project,cohort,rep,module,document_id,source_type,fields
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Ethics,bmj_protocol_publication,publication,3
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Ethics,fairhub_dataset_v3_api,structured metadata,5
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Ethics,ro_crate_metadata,RO-Crate,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,FileCollection,fairhub_dataset_v3_api,structured metadata,19
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,FileCollection,ro_crate_metadata,RO-Crate,10
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Human,bmj_protocol_publication,publication,2
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Human,fairhub_dataset_v3_api,structured metadata,5
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Human,irb_protocol,IRB,4
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Human,nature_metabolism_publication,publication,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Human,ro_crate_metadata,RO-Crate,2
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Maintenance,dataset_documentation,documentation,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Maintenance,fairhub_dataset_v3,data resource,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Maintenance,fairhub_dataset_v3_api,structured metadata,5
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Maintenance,ro_crate_metadata,RO-Crate,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Metadata (Information),bmj_protocol_publication,publication,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Metadata (Information),fairhub_dataset_v3,data resource,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Metadata (Information),fairhub_dataset_v3_api,structured metadata,7
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Metadata (Information),nature_metabolism_publication,publication,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Metadata (Information),ro_crate_metadata,RO-Crate,1
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Motivation,bmj_protocol_publication,publication,3
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Motivation,fairhub_dataset_v3_api,structured metadata,4
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Motivation,nature_metabolism_publication,publication,3
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Motivation,nih_reporter_project,NIH project page,3
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Preprocessing,bmj_protocol_publication,publication,2
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Preprocessing,fairhub_dataset_v3_api,structured metadata,5
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Uses,dataset_license,license,7
2026-09-01_claude-opus-5-api-generic-v7_rep2,AI_READI,v7,2,Uses,nature_metabolism_publication,publication,1
