project,cohort,generation_rep,label,arm,phase,attempts,tokens_in_incl_cache,tokens_out_incl_thinking,seconds,timed_attempts
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,repair_full,1,41358,22887,208.7,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,repair_full,1,41425,22534,207.0,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,repair_full,2,90240,27032,990.7,2
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report_after_repair,1,316127,3934,,0
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report_after_repair,1,317571,4817,,0
AI_READI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report_after_repair,1,327888,7264,,0
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,report_after_repair,1,310541,5614,66.1,1
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,report_after_repair,1,338485,6769,81.8,1
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,report_after_repair,1,315426,4389,56.5,1
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report_after_repair,1,85529,5173,,0
CHORUS,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report_after_repair,1,76771,3964,,0
CHORUS,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report_after_repair,1,85951,4500,,0
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,report_after_repair,1,90254,5371,62.8,1
CHORUS,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,report_after_repair,1,87864,5405,65.9,1
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,report_after_repair,1,94537,5764,68.1,1
CM4AI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report_after_repair,1,231435,5995,,0
CM4AI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report_after_repair,1,242380,4421,,0
CM4AI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report_after_repair,1,236659,5484,,0
CM4AI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,report_after_repair,1,220005,3310,43.8,1
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,report_after_repair,1,221206,6598,85.7,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,report_after_repair,1,229636,4690,55.6,1
VOICE,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report_after_repair,1,240707,4447,,0
VOICE,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report_after_repair,1,249943,4278,,0
VOICE,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report_after_repair,1,258792,5199,,0
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,report_after_repair,1,254305,5785,69.9,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,report_after_repair,1,257018,6186,71.6,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,report_after_repair,1,269056,6420,75.9,1
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,report_regate,1,95984,5470,53.9,1
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,report_regate,1,100544,9114,93.5,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,report_regate,1,234826,4769,46.7,1
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,report_regate,1,260390,5792,57.4,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,report_regate,1,263953,6044,59.5,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,report_regate,1,276325,6911,67.5,1
