# d4d_module: D4D schema module containing this attribute
#
subject_id	subject_label	subject_category	d4d_module	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	subject_type	subject_multivalued	object_type	type_compatible	composition_path	structural_notes	warnings	d4d_module
d4d:CollectionTimeframe/name	name	CollectionTimeframe	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from CollectionTimeframe		D4D_Collection
d4d:CollectionTimeframe/description	description	CollectionTimeframe	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from CollectionTimeframe		D4D_Collection
d4d:DirectCollection/name	name	DirectCollection	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DirectCollection		D4D_Collection
d4d:DirectCollection/description	description	DirectCollection	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DirectCollection		D4D_Collection
d4d:MissingDataDocumentation/name	name	MissingDataDocumentation	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from MissingDataDocumentation		D4D_Collection
d4d:MissingDataDocumentation/description	description	MissingDataDocumentation	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from MissingDataDocumentation		D4D_Collection
d4d:RawDataSource/name	name	RawDataSource	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from RawDataSource		D4D_Collection
d4d:RawDataSource/description	description	RawDataSource	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from RawDataSource		D4D_Collection
d4d:PreprocessingStrategy/name	name	PreprocessingStrategy	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from PreprocessingStrategy		D4D_Preprocessing
d4d:PreprocessingStrategy/description	description	PreprocessingStrategy	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from PreprocessingStrategy		D4D_Preprocessing
d4d:CleaningStrategy/name	name	CleaningStrategy	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from CleaningStrategy		D4D_Preprocessing
d4d:CleaningStrategy/description	description	CleaningStrategy	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from CleaningStrategy		D4D_Preprocessing
d4d:LabelingStrategy/name	name	LabelingStrategy	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from LabelingStrategy		D4D_Preprocessing
d4d:LabelingStrategy/description	description	LabelingStrategy	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from LabelingStrategy		D4D_Preprocessing
d4d:RawData/name	name	RawData	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from RawData		D4D_Preprocessing
d4d:RawData/description	description	RawData	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from RawData		D4D_Preprocessing
d4d:ImputationProtocol/name	name	ImputationProtocol	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ImputationProtocol		D4D_Preprocessing
d4d:ImputationProtocol/description	description	ImputationProtocol	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ImputationProtocol		D4D_Preprocessing
d4d:AnnotationAnalysis/name	name	AnnotationAnalysis	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from AnnotationAnalysis		D4D_Preprocessing
d4d:AnnotationAnalysis/description	description	AnnotationAnalysis	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from AnnotationAnalysis		D4D_Preprocessing
